"id","name","geom","status","route_type","region"
4971,CC-Faisalabad 1,"POLYGON ((73.014753 31.540748, 73.00102 31.502116, 72.897289 31.415873, 72.850646 31.382902, 72.917603 31.363408, 72.964628 31.35007, 73.061788 31.319279, 73.147618 31.314, 73.204266 31.387885, 73.247868 31.450583, 73.232075 31.5068, 73.21311 31.508267, 73.192771 31.515, 73.174489 31.528607, 73.154141 31.539577, 73.113629 31.547185, 73.098523 31.548355, 73.081014 31.548355, 73.053033 31.548942, 73.026082 31.548062, 73.015268 31.547331, 73.014753 31.540748))",active,Intracity,Punjab
4940,Parco KBS Section -1,"POLYGON ((72.0067672729492 31.0568199157715, 71.9997711181641 31.0466403961182, 71.9910049438477 31.0350646972656, 71.9637069702148 30.9965229034424, 71.9536666870117 30.9797515869141, 71.950065612793 30.9779052734375, 71.9445724487305 30.9699554443359, 71.9335861206055 30.9543552398682, 71.923454284668 30.9442672729492, 71.8902435302734 30.9108409881592, 71.8761672973633 30.897216796875, 71.862174987793 30.8830013275146, 71.8553924560547 30.8702564239502, 71.8457794189453 30.8514671325684, 71.8329086303711 30.8275909423828, 71.8274993896484 30.8176403045654, 71.8215789794922 30.8070259094238, 71.7995147705078 30.7662601470947, 71.7874145507813 30.750171661377, 71.7553100585938 30.7108497619629, 71.7313690185547 30.6845741271973, 71.7095642089844 30.6644954681396, 71.688362121582 30.6455936431885, 71.6539459228516 30.6149425506592, 71.6373825073242 30.6009826660156, 71.6291427612305 30.5947036743164, 71.6273422241211 30.5959606170654, 71.6248474121094 30.5966243743896, 71.6226196289063 30.594554901123, 71.6175537109375 30.5889415740967, 71.6098251342773 30.5810356140137, 71.6065673828125 30.5783767700195, 71.6028747558594 30.5783023834229, 71.5998687744141 30.5756416320801, 71.5957565307617 30.5714225769043, 71.5954132080078 30.5680980682373, 71.5960159301758 30.5656585693359, 71.5950698852539 30.5632209777832, 71.582878112793 30.5508804321289, 71.5718078613281 30.5431938171387, 71.5652008056641 30.5395736694336, 71.5576400756836 30.541051864624, 71.5548324584961 30.5402908325195, 71.5535278320313 30.5369815826416, 71.5536727905273 30.5340232849121, 71.555046081543 30.5352249145508, 71.5549621582031 30.537036895752, 71.5558013916016 30.5387001037598, 71.5571746826172 30.5391254425049, 71.5602645874023 30.5382747650146, 71.5630950927734 30.5380535125732, 71.564338684082 30.537202835083, 71.5550308227539 30.5271129608154, 71.5489730834961 30.5269660949707, 71.5486297607422 30.5292568206787, 71.5469131469727 30.5285549163818, 71.5471725463867 30.5269641876221, 71.5454559326172 30.5226039886475, 71.5387191772461 30.5238227844238, 71.5343399047852 30.5179443359375, 71.5292816162109 30.5118064880371, 71.5216827392578 30.5026760101318, 71.5223236083984 30.5022392272949, 71.5324935913086 30.5139141082764, 71.5391464233398 30.5220489501953, 71.5479888916016 30.5209045410156, 71.5507354736328 30.5204963684082, 71.5471725463867 30.5159854888916, 71.5404815673828 30.5073318481445, 71.5353317260742 30.5035972595215, 71.5295562744141 30.4992904663086, 71.5205001831055 30.492712020874, 71.5173873901367 30.4941711425781, 71.5173034667969 30.4969635009766, 71.5167236328125 30.4979972839355, 71.5126724243164 30.4960174560547, 71.4921112060547 30.4819297790527, 71.4810791015625 30.468318939209, 71.4775619506836 30.4565162658691, 71.4759750366211 30.4455680847168, 71.4752044677734 30.4381675720215, 71.4718551635742 30.4350032806396, 71.4685745239258 30.4325981140137, 71.4653549194336 30.4297866821289, 71.4623336791992 30.4269371032715, 71.4584274291992 30.4228496551514, 71.4549942016602 30.4195194244385, 71.4470748901367 30.4119319915771, 71.4401626586914 30.4057121276855, 71.4356994628906 30.4014549255371, 71.4326553344727 30.4001598358154, 71.4253387451172 30.3956069946289, 71.4211120605469 30.3940334320068, 71.4165420532227 30.3925704956055, 71.4056396484375 30.38450050354, 71.3876190185547 30.3693962097168, 71.3869247436523 30.3676910400391, 71.38916015625 30.3682079315186, 71.4063262939453 30.3820571899414, 71.4168167114258 30.3916263580322, 71.4261093139648 30.3945693969727, 71.4318161010742 30.3982696533203, 71.4335098266602 30.3987522125244, 71.4338150024414 30.3997707366943, 71.4345626831055 30.4001770019531, 71.4362564086914 30.4008617401123, 71.4407196044922 30.404914855957, 71.4445877075195 30.4086894989014, 71.448127746582 30.4119472503662, 71.4506759643555 30.4142780303955, 71.4524993896484 30.4159603118896, 71.4540710449219 30.4175930023193, 71.4570693969727 30.4204406738281, 71.4595413208008 30.4228096008301, 71.4623718261719 30.4257869720459, 71.4638977050781 30.4275093078613, 71.4665985107422 30.4298763275146, 71.4684219360352 30.4313564300537, 71.4762344360352 30.4379825592041, 71.4766616821289 30.4415893554688, 71.4771575927734 30.4455299377441, 71.4785079956055 30.4534072875977, 71.4800109863281 30.4601764678955, 71.4817276000977 30.4657592773438, 71.4879531860352 30.474084854126, 71.491813659668 30.4791164398193, 71.4963607788086 30.4828853607178, 71.501708984375 30.4872722625732, 71.5055465698242 30.4898796081543, 71.5094909667969 30.4925975799561, 71.5159301757813 30.4962940216064, 71.5163192749023 30.4931526184082, 71.520393371582 30.4914512634277, 71.529296875 30.4979209899902, 71.5388031005859 30.5048885345459, 71.5409317016602 30.5067405700684, 71.5424728393555 30.5088024139404, 71.5457611083984 30.5126190185547, 71.5521087646484 30.5202350616455, 71.5527114868164 30.5212726593018, 71.5472564697266 30.522159576416, 71.5481567382813 30.5248584747314, 71.5490646362305 30.5257453918457, 71.5543365478516 30.5258197784424, 71.5560150146484 30.525598526001, 71.5621109008789 30.5332107543945, 71.5661392211914 30.5368709564209, 71.5757141113281 30.5434837341309, 71.5878143310547 30.5517292022705, 71.5911407470703 30.5553131103516, 71.5978164672852 30.5637741088867, 71.5999145507813 30.5663070678711, 71.5986938476563 30.5666408538818, 71.5986938476563 30.5670642852783, 71.5973663330078 30.5672492980957, 71.598030090332 30.5703163146973, 71.5996170043945 30.5726070404053, 71.6007537841797 30.5737895965576, 71.6014633178711 30.5746574401855, 71.6020202636719 30.5751934051514, 71.6026840209961 30.5753040313721, 71.6030731201172 30.5761547088623, 71.6068725585938 30.5761547088623, 71.6080474853516 30.5760250091553, 71.6110534667969 30.5792388916016, 71.6184997558594 30.5865707397461, 71.6248474121094 30.5924110412598, 71.6265640258789 30.591968536377, 71.6288833618164 30.5911560058594, 71.6316299438477 30.5918216705322, 71.6402969360352 30.5992813110352, 71.6582412719727 30.6147193908691, 71.6811599731445 30.6333332061768, 71.6989212036133 30.6496505737305, 71.7088775634766 30.6597652435303, 71.73291015625 30.6808815002441, 71.7528228759766 30.702730178833, 71.7713623046875 30.7251605987549, 71.7964248657227 30.7557754516602, 71.8036346435547 30.7642593383789, 71.8095550537109 30.7739963531494, 71.8287811279297 30.8112277984619, 71.8453521728516 30.8431377410889, 71.8532485961914 30.8588333129883, 71.8655166625977 30.8806438446045, 71.8765029907227 30.8919887542725, 71.8954772949219 30.9109134674072, 71.9092102050781 30.9247570037842, 71.9188232421875 30.9343280792236, 71.9330673217773 30.9484596252441, 71.9513473510742 30.9723873138428, 71.9577026367188 30.9762897491455, 71.9587326049805 30.9833526611328, 71.9697189331055 30.9990940093994, 71.9852523803711 31.0218963623047, 71.9972686767578 31.0392551422119, 72.0090255737305 31.0555057525635, 72.0067672729492 31.0568199157715))",active,Intracity,Punjab
21,Lahore,"POLYGON ((74.290153503418 31.6355533599854, 74.2997283935547 31.6364555358887, 74.3082733154297 31.631986618042, 74.3189926147461 31.6275653839111, 74.3288650512695 31.6266803741455, 74.3610763549805 31.622278213501, 74.3975830078125 31.6247444152832, 74.408935546875 31.6298732757568, 74.4167098999023 31.6341552734375, 74.4262924194336 31.6343441009521, 74.4331893920898 31.6280612945557, 74.4345855712891 31.6199512481689, 74.447395324707 31.6155281066895, 74.4569244384766 31.6138458251953, 74.4641265869141 31.6143569946289, 74.4785537719727 31.615161895752, 74.5121917724609 31.6088027954102, 74.5243835449219 31.5963764190674, 74.5310745239258 31.5788288116455, 74.5336456298828 31.5750255584717, 74.5358810424805 31.5707836151123, 74.5357055664063 31.5680046081543, 74.5446319580078 31.5577659606934, 74.5497894287109 31.5489902496338, 74.5686645507813 31.5244102478027, 74.5918426513672 31.4501895904541, 74.5696868896484 31.4286632537842, 74.4784088134766 31.4614677429199, 74.4367065429688 31.4049758911133, 74.4138336181641 31.376501083374, 74.4224166870117 31.3345775604248, 74.4121170043945 31.2964420318604, 74.3836212158203 31.2899875640869, 74.3647308349609 31.285005569458, 74.3443069458008 31.3184471130371, 74.3108367919922 31.3134593963623, 74.2751312255859 31.3052501678467, 74.2361602783203 31.2942485809326, 74.2174530029297 31.2914619445801, 74.1958236694336 31.2839813232422, 74.1407241821289 31.3046627044678, 74.0978088378906 31.3001155853271, 74.064338684082 31.2814846038818, 74.0377197265625 31.3009948730469, 74.0544662475586 31.3202075958252, 74.1024322509766 31.3407344818115, 74.1372833251953 31.3898372650146, 74.1624526977539 31.4377765655518, 74.175910949707 31.4519500732422, 74.1942749023438 31.4702529907227, 74.2049179077148 31.4759635925293, 74.2096405029297 31.481912612915, 74.2139739990234 31.4841365814209, 74.2168960571289 31.4867973327637, 74.2230758666992 31.4865303039551, 74.2256469726563 31.494047164917, 74.2290802001953 31.5006828308105, 74.2332000732422 31.5070266723633, 74.2451095581055 31.5247077941895, 74.2518692016602 31.535364151001, 74.2581558227539 31.5468673706055, 74.2212371826172 31.5922832489014, 74.2466430664063 31.6165542602539, 74.2650828360861 31.61240992123714, 74.2482681274414 31.6162586212158, 74.2687835693359 31.6345291137695, 74.2816543579102 31.6354064941406, 74.2856903076172 31.6356258392334, 74.290153503418 31.6355533599854), (74.2688674926758 31.6115436553955, 74.2916286639079 31.606443720944377, 74.2915649414063 31.6063537597656, 74.2916641235352 31.6064338684082, 74.2916946411133 31.6065368652344, 74.29162867879634 31.60644374196336, 74.2650828360861 31.61240992123714, 74.2688674926758 31.6115436553955))",active,Intracity,Punjab
309,Karachi-Bahria Town,"POLYGON ((66.9271621704102 25.089334487915, 66.9534301757813 25.1017742156982, 66.9754028320313 25.1065940856934, 66.9905090332031 25.1058139801025, 67.0007476806641 25.1054000854492, 67.0102920532227 25.1011447906494, 67.0294876098633 25.0977439880371, 67.051628112793 25.0968818664551, 67.0929870605469 25.0978851318359, 67.109260559082 25.0939979553223, 67.1248550415039 25.0863800048828, 67.1375122070313 25.0799903869629, 67.1523971557617 25.0815277099609, 67.1593856811523 25.0850105285645, 67.1653442382813 25.0825843811035, 67.17529296875 25.077808380127, 67.1982803344727 25.0671234130859, 67.2065048217773 25.0638694763184, 67.2086486816406 25.062198638916, 67.2110061645508 25.0616550445557, 67.2127685546875 25.0613441467285, 67.2162399291992 25.0614986419678, 67.2222061157227 25.0640296936035, 67.2311782836914 25.0663471221924, 67.2329177856445 25.0673294067383, 67.2359848022461 25.0677947998047, 67.2383422851563 25.0703620910645, 67.2390518188477 25.0706348419189, 67.2399597167969 25.070613861084, 67.2415390014648 25.0701293945313, 67.2447814941406 25.0734195709229, 67.2669677734375 25.0869197845459, 67.277702331543 25.0892524719238, 67.282341003418 25.0890235900879, 67.286003112793 25.0938320159912, 67.2909545898438 25.0963077545166, 67.2965621948242 25.1066780090332, 67.312873840332 25.1248416900635, 67.3197555541992 25.1350288391113, 67.3327865600586 25.1498527526855, 67.3434295654297 25.1558284759521, 67.3609466552734 25.1568336486816, 67.3803405761719 25.152229309082, 67.3914184570313 25.1461982727051, 67.399055480957 25.1370582580566, 67.4369125366211 25.1259250640869, 67.4582901000977 25.1079521179199, 67.4865341186523 25.0854682922363, 67.5051574707031 25.070442199707, 67.5321884155273 25.0434532165527, 67.5473861694336 24.9879245758057, 67.5363693237305 24.9518623352051, 67.5145492553711 24.9457702636719, 67.4941024780273 24.9390563964844, 67.4855728149414 24.9000949859619, 67.4660110473633 24.8978805541992, 67.4572525024414 24.8945331573486, 67.4560546875 24.891185760498, 67.4569091796875 24.8895111083984, 67.4569091796875 24.8893165588379, 67.4566802978516 24.8884811401367, 67.4560470581055 24.8879928588867, 67.4572525024414 24.8830108642578, 67.4578475952148 24.8769378662109, 67.4569931030273 24.8738231658936, 67.4565734863281 24.8674793243408, 67.4862670898438 24.8696174621582, 67.4960479736328 24.8573131561279, 67.4958724975586 24.8434505462646, 67.498046875 24.8418140411377, 67.4994812011719 24.8406467437744, 67.5000839233398 24.8407039642334, 67.5007476806641 24.8409767150879, 67.5022277832031 24.8414249420166, 67.5050659179688 24.8408088684082, 67.5349502563477 24.8492450714111, 67.5713653564453 24.8249664306641, 67.5365676879883 24.7603931427002, 67.525749206543 24.7655372619629, 67.5168228149414 24.7684993743896, 67.4651565551758 24.8035659790039, 67.4609451293945 24.790943145752, 67.4600067138672 24.7865791320801, 67.4578552246094 24.7843189239502, 67.4555435180664 24.7823715209961, 67.4483337402344 24.7809677124023, 67.4409484863281 24.7797203063965, 67.4382019042969 24.7758235931396, 67.425666809082 24.7692775726318, 67.3996658325195 24.779411315918, 67.3703079223633 24.7766819000244, 67.3405303955078 24.7690448760986, 67.3237915039063 24.7589588165283, 67.3061904907227 24.7699031829834, 67.3219833374023 24.7907867431641, 67.2886810302734 24.802318572998, 67.250846862793 24.8012847900391, 67.2292938232422 24.806526184082, 67.1977081298828 24.797176361084, 67.157829284668 24.7817783355713, 67.1207809448242 24.7632484436035, 67.0660400390625 24.7405948638916, 67.0526428222656 24.7646026611328, 67.0327224731445 24.7836170196533, 66.9736785888672 24.7811241149902, 66.8741683959961 24.8526630401611, 66.8149642944336 24.8378849029541, 66.7557678222656 24.8380603790283, 66.6620864868164 24.8109912872314, 66.6453018188477 24.8381404876709, 66.6504974365234 24.8627910614014, 66.6894836425781 24.8886489868164, 66.674919128418 24.9456367492676, 66.7075729370117 24.9749088287354, 66.7841720581055 24.9995079040527, 66.8195724487305 25.0153903961182, 66.8434219360352 25.0354499816895, 66.8147430419922 25.0663890838623, 66.8391036987305 25.0800647735596, 66.84615772336389 25.0721318009999, 66.8459548950195 25.0719738006592, 66.8462982177734 25.0719738006592, 66.8715438842773 25.0842571258545, 66.8978118896484 25.0734710693359, 66.9271621704102 25.089334487915))",active,Intracity,Sindh
5079,Test-Destination-1,"POLYGON ((67.0803985595703 24.9401931762695, 67.0812377929688 24.9392490386963, 67.0824661254883 24.9400863647461, 67.0823059082031 24.9403781890869, 67.0821228027344 24.9407081604004, 67.0818099975586 24.9409313201904, 67.0815200805664 24.9409370422363, 67.0807723999023 24.9405193328857, 67.0803985595703 24.9401931762695))",inactive,Intracity,Sindh
5250,BankAlfalahTesting,"POLYGON ((67.0734024047852 24.8633480072021, 67.0734405517578 24.8648777008057, 67.0742492675781 24.8657341003418, 67.0757293701172 24.8657913208008, 67.0773773193359 24.8663368225098, 67.0776138305664 24.8663558959961, 67.0780334472656 24.8652172088623, 67.0736999511719 24.8631248474121, 67.0734024047852 24.8633480072021))",inactive,Intracity,Sindh
5060,CC-Sialkot 4,"POLYGON ((74.944417 32.437359, 74.901306 32.386344, 74.85069 32.347489, 74.836439 32.323409, 74.824254 32.296717, 74.784244 32.265372, 74.740483 32.239818, 74.73739 32.202487, 74.73293 32.154404, 74.725033 32.144811, 74.751817 32.114927, 74.776197 32.093176, 74.765213 32.07927, 74.757666 32.060709, 74.716914 32.026136, 74.707537 32.001854, 74.731187 31.973884, 74.782851 31.959038, 74.812593 31.97203, 74.81762 31.989096, 74.823338 32.00907, 74.84142 32.024385, 74.855061 32.024122, 74.86639 32.032563, 74.871884 32.037511, 74.867764 32.048569, 74.87978 32.056717, 74.904499 32.058754, 74.925785 32.069228, 74.984837 32.055553, 74.979687 32.044495, 75.006466 32.046823, 75.030155 32.059336, 75.052128 32.062245, 75.076847 32.075628, 75.106373 32.081446, 75.137272 32.088428, 75.165424 32.086101, 75.19083 32.09599, 75.195637 32.129141, 75.221729 32.130304, 75.225163 32.112276, 75.240269 32.105878, 75.274601 32.126815, 75.269795 32.146584, 75.285588 32.161117, 75.3055 32.179135, 75.304814 32.19773, 75.333653 32.228521, 75.356999 32.226197, 75.362492 32.273816, 75.336399 32.274397, 75.337772 32.28949, 75.313053 32.294134, 75.328846 32.318508, 75.310307 32.338236, 75.290394 32.346938, 75.273228 32.366658, 75.241642 32.373618, 75.222416 32.386955, 75.189457 32.397392, 75.178471 32.403769, 75.175038 32.415363, 75.130406 32.403769, 75.120106 32.42058, 75.120106 32.43391, 75.099506 32.465199, 75.071354 32.465779, 75.033588 32.482581, 75.015049 32.458826, 74.980717 32.443182, 74.944417 32.437359))",active,Intracity,Punjab
5061,CC-SOUTH WAZIRISTAN,"POLYGON ((69.915312 31.775354, 70.026355 31.764016, 70.110126 31.759346, 70.159564 31.767519, 70.19115 31.747668, 70.173297 31.878371, 70.174671 32.01471, 70.138965 32.040324, 70.057941 32.083386, 70.089527 32.121775, 70.115619 32.185721, 70.084034 32.368012, 70.163684 32.390048, 70.263935 32.40744, 70.430103 32.443375, 70.556446 32.509411, 70.553699 32.551093, 70.471302 32.710694, 70.393024 32.803086, 70.261188 32.760367, 70.051074 32.700294, 69.846454 32.649432, 69.438587 32.590441, 69.433094 32.606639, 69.396015 32.560353, 69.34795 32.55225, 69.275165 32.511727, 69.250446 32.445693, 69.282032 32.357572, 69.288898 32.296068, 69.277912 32.229876, 69.295764 32.102001, 69.31499 32.010052, 69.320484 31.943652, 69.44408 31.948314, 69.496265 31.951809, 69.54845 31.940156, 69.608875 31.992583, 69.662433 32.057784, 69.750324 32.076404, 69.818988 32.074077, 69.794269 31.98676, 69.860187 31.952974, 69.840961 31.863209, 69.88216 31.888865, 69.928852 31.892363, 69.915312 31.775354))",active,Intracity,Khyber Pakhtunkhwa
4484,dijkot,"POLYGON ((73.0173982006448 31.2399956498155, 72.9950822216409 31.2426374890005, 72.9751695019143 31.2350053075335, 72.9672730785745 31.2282532483941, 72.9604066234964 31.2141604405061, 72.9614365917581 31.2012401877849, 72.9600633007424 31.1859685229285, 72.9700196606057 31.1809753287365, 72.9964555126565 31.1739256650798, 73.0170548778909 31.1753943882891, 73.0376542431253 31.1933109771097, 73.0383408886331 31.2141604405061, 73.0304444652932 31.2426374890005, 73.0263245922464 31.2482144623898, 73.0198014599221 31.246453348479, 73.0173982006448 31.2399956498155))",active,Intracity,Punjab
223,Karachi Small,"POLYGON ((66.9592666625977 24.8615185335679, 66.9513702392578 24.8736666653566, 66.9493103027343 24.8923537671561, 66.946907043457 24.9079241920009, 66.932144165039 24.9191336814686, 66.9256210327148 24.9343894050257, 66.9039916992188 24.9639614481895, 66.9685363769531 25.0003719913183, 66.9802093505859 25.0093951591024, 66.99462890625 25.0196620954342, 67.020378112793 25.0333500082522, 67.0591735839844 25.0451701586799, 67.0820045471191 25.0506132658712, 67.1357345581055 25.0548120691523, 67.1467208862305 25.0476584662376, 67.1590805053711 25.0293060110947, 67.1741867065429 25.0227731187639, 67.1896362304687 25.019506542198, 67.2009658813476 25.0131286898201, 67.2098922729492 24.9969492370713, 67.2153854370117 24.9876139682342, 67.2243118286133 24.9782779904867, 67.2373580932617 24.9722092248895, 67.2555541992187 24.966140159913, 67.2676563262939 24.9589813908505, 67.2783851623535 24.9505770872429, 67.2991561889648 24.9312761453846, 67.3187255859375 24.903564671036, 67.3128890991211 24.8721092792827, 67.3137474060058 24.8389322964923, 67.320442199707 24.8238205814146, 67.3353767395019 24.8105768409999, 67.3506546020508 24.7970200174907, 67.3655891418457 24.7856436082036, 67.3586368560791 24.7771495814199, 67.3355484008789 24.7624200288517, 67.2637939453125 24.7376330302955, 67.199764251709 24.7343589062538, 67.1271514892578 24.732799769272, 67.0746231079102 24.7424661034733, 66.9795227050782 24.7951499944723, 66.9652748107911 24.8168093657687, 66.9630432128906 24.8300524399521, 66.9592666625977 24.8615185335679))",active,Intracity,Sindh
